,customer_ID,customer_lastname,credit_score,account_ID,age,Email
43,53385733,Spencer,840,10059838,38,sampleemailtest30+15@gmail.com
44,77856380,Casey,746,10059852,40,sampleemailtest30+29@gmail.com
45,85517098,Thompson,771,10059881,51,sampleemailtest30+58@gmail.com
46,6375592,Ryan,620,10059841,34,sampleemailtest30+18@gmail.com
47,26033206,Hill,748,10059854,32,sampleemailtest30+31@gmail.com
48,1918502,Wright,772,10059882,55,sampleemailtest30+59@gmail.com
49,67277705,Riley,745,10059851,30,sampleemailtest30+28@gmail.com
50,83438861,Robinson,698,10059830,35,sampleemailtest30+7@gmail.com
51,38783708,Carter,583,10059826,35,sampleemailtest30+3@gmail.com
52,84332558,Holmes,776,10059886,60,sampleemailtest30+63@gmail.com
53,42404212,Wells,718,10059890,40,sampleemailtest30+91@gmail.com
54,43592458,Mason,790,10059891,60,sampleemailtest30+68@gmail.com
55,53979458,Roberts,0,10059889,55,sampleemailtest30+66@gmail.com
56,772630,Harrison,707,10059866,31,sampleemailtest30+43@gmail.com
57,66644454,Evans,616,10059861,31,sampleemailtest30+38@gmail.com
58,76918677,Barnes,617,10059862,37,sampleemailtest30+39@gmail.com
59,25997531,Tucker,797,10059898,50,sampleemailtest30+75@gmail.com
60,97822528,Perkins,613,10059858,32,sampleemailtest30+35@gmail.com
61,47271651,Bennett,742,10059848,39,sampleemailtest30+25@gmail.com
62,38898300,Thompson,719,10059891,50,sampleemailtest30+92@gmail.com
63,87648107,Perry,717,10059889,43,sampleemailtest30+90@gmail.com
64,17217866,Tucker,654,10059875,55,sampleemailtest30+52@gmail.com
65,39233801,Hunt,703,10059835,36,sampleemailtest30+12@gmail.com
66,97005134,Sullivan,715,10059911,40,sampleemailtest30+88@gmail.com
67,12951347,Richards,799,10059900,52,sampleemailtest30+77@gmail.com
68,42421652,Perry,775,10059885,52,sampleemailtest30+62@gmail.com
69,82322886,Tucker,802,10059903,59,sampleemailtest30+80@gmail.com
70,62936603,Morris,710,10059869,35,sampleemailtest30+46@gmail.com
71,34691763,Stevens,770,10059880,50,sampleemailtest30+57@gmail.com
72,81099659,Gibson,777,10059887,59,sampleemailtest30+64@gmail.com
73,26779150,Murphy,796,10059897,57,sampleemailtest30+74@gmail.com
74,63567671,Richardson,743,10059849,35,sampleemailtest30+26@gmail.com
75,59077474,Johnston,792,10059893,60,sampleemailtest30+70@gmail.com
76,19857011,Elliott,793,10059894,51,sampleemailtest30+71@gmail.com
77,59406077,Parker,612,10059857,37,sampleemailtest30+34@gmail.com
78,1069238,Reed,699,10059831,37,sampleemailtest30+8@gmail.com
79,91702846,Sullivan,623,10059844,31,sampleemailtest30+21@gmail.com
80,28172550,Cameron,722,10059894,44,sampleemailtest30+95@gmail.com
81,62967696,Morrison,778,10059888,55,sampleemailtest30+65@gmail.com
82,80872424,Payne,657,10059878,60,sampleemailtest30+55@gmail.com
83,26813059,Dixon,705,10059864,36,sampleemailtest30+41@gmail.com
84,93832757,Payne,803,10059904,60,sampleemailtest30+81@gmail.com
85,28353874,Douglas,702,10059834,34,sampleemailtest30+11@gmail.com
86,11620008,Henderson,744,10059850,39,sampleemailtest30+27@gmail.com
87,70734448,Robinson,795,10059896,50,sampleemailtest30+73@gmail.com
88,53860414,Bennett,706,10059865,38,sampleemailtest30+42@gmail.com
89,50425938,Craig,704,10059836,37,sampleemailtest30+13@gmail.com
90,21553426,Taylor,804,10059905,53,sampleemailtest30+82@gmail.com
91,16453517,Gibson,791,10059892,51,sampleemailtest30+69@gmail.com
92,214453,Perry,622,10059843,34,sampleemailtest30+20@gmail.com
93,72410422,Grant,713,10059909,43,sampleemailtest30+86@gmail.com
94,8075351,Andrews,805,10059906,53,sampleemailtest30+83@gmail.com
95,50580361,Bennett,724,10059896,50,sampleemailtest30+97@gmail.com
96,85591959,Fowler,700,10059832,31,sampleemailtest30+9@gmail.com
